case_id,name,lambda,rlimit,adc_hex,adc_dec
0,flat_uniform,0.2,2.4000,32,50
1,center_dark_flat,0.2,2.4000,0A,10
2,horizontal_edge,0.2,15.2000,52,82
3,vertical_edge,0.2,17.6000,46,70
4,diag_edge_main,0.2,16.8000,50,80
5,diag_edge_anti,0.2,16.8000,50,80
6,cross_structure,0.2,12.6400,0A,10
7,center_bright_island,0.2,28.6400,14,20
8,noisy_small_variation,0.2,2.8000,32,50
9,ramp_horizontal,0.2,9.6000,14,20
10,ramp_vertical,0.2,9.6000,14,20
11,checkerboard_soft,0.2,8.8000,0A,10
12,corner_dark_tl,0.2,5.6000,32,50
13,corner_dark_br,0.2,5.6000,32,50
14,ring_structure,0.2,23.5200,0F,15
15,left_right_two_regions,0.2,16.8000,12,18
16,top_bottom_two_regions,0.2,16.8000,0A,10
17,center_valley,0.2,24.1600,05,5
18,random_like_1,0.2,9.6640,0B,11
19,random_like_2,0.2,8.1600,1E,30
