case_id,name,A_R,A_G,A_B,adc_dark,tx_raw,tx_used,src_r,src_g,src_b,out_r,out_g,out_b,input_hex,golden_hex
0,flat_uniform,112,100,102,26,199,199,113,100,95,113,96,90,00701A71645F00000000,00C7C771605A
1,center_dark_flat,132,120,122,26,208,208,134,120,116,134,117,112,01841A86787400000000,01D0D0867570
2,horizontal_edge,213,200,201,208,18,26,48,40,37,125,46,17,02D5D030282500000000,02121A7D2E11
3,vertical_edge,234,220,221,124,127,127,129,120,118,22,4,0,03EA7C81787600000000,037F7F160400
4,diag_edge_main,214,200,201,232,248,248,30,20,19,24,13,12,04D6E81E141300000000,04F8F8180D0C
5,diag_edge_anti,214,200,200,232,248,248,31,20,20,25,13,13,05D6E81F141400000000,05F8F8190D0D
6,cross_structure,192,180,181,255,189,189,192,180,181,192,175,177,06C0FFC0B4B500000000,06BDBDC0AFB1
7,center_bright_island,213,200,202,147,88,88,213,200,202,213,175,181,07D593D5C8CA00000000,075858D5AFB5
8,noisy_small_variation,117,103,105,26,201,201,114,100,92,113,95,85,08751A72645C00000000,08C9C9715F55
9,ramp_horizontal,144,130,132,72,134,134,78,70,63,17,2,246,0990484E463F00000000,0986861102F6
10,ramp_vertical,142,130,132,72,132,132,79,70,64,19,2,247,0A8E484F464000000000,0A84841302F7
11,checkerboard_soft,132,120,122,33,195,195,90,80,75,76,63,57,0B84215A504B00000000,0BC3C34C3F39
12,corner_dark_tl,119,110,109,71,111,111,81,70,66,31,5,253,0C774751464200000000,0C6F6F1F05FD
13,corner_dark_br,124,110,104,84,91,91,82,70,67,5,229,220,0D7C5452464300000000,0D5B5B05E5DC
14,ring_structure,194,180,180,176,35,35,43,30,28,114,19,4,0EC2B02B1E1C00000000,0E2323721304
15,left_right_two_regions,212,200,202,232,246,246,34,20,19,26,12,11,0FD4E822141300000000,0FF6F61A0C0B
16,top_bottom_two_regions,212,200,201,136,100,100,108,100,100,202,182,182,10D4886C646400000000,106464CAB6B6
17,center_valley,163,150,151,95,114,114,29,20,21,119,98,101,11A35F1D141500000000,117272776265
18,random_like_1,105,95,97,26,195,195,105,95,97,105,91,94,12691A695F6100000000,12C3C3695B5E
19,random_like_2,213,200,200,87,156,156,156,145,137,119,101,88,13D5579C918900000000,139C9C776558
