case_id,name,adc_hex,rlimit,mask_ones
0,flat_uniform,32,2.4000,13
1,center_dark_flat,0A,2.4000,13
2,horizontal_edge,52,15.2000,15
3,vertical_edge,46,17.6000,5
4,diag_edge_main,50,16.8000,15
5,diag_edge_anti,50,16.8000,15
6,cross_structure,0A,12.6400,9
7,center_bright_island,14,28.6400,9
8,noisy_small_variation,32,2.8000,12
9,ramp_horizontal,14,9.6000,15
10,ramp_vertical,14,9.6000,15
11,checkerboard_soft,0A,8.8000,9
12,corner_dark_tl,32,5.6000,13
13,corner_dark_br,32,5.6000,13
14,ring_structure,0F,23.5200,9
15,left_right_two_regions,12,16.8000,15
16,top_bottom_two_regions,0A,16.8000,5
17,center_valley,05,24.1600,9
18,random_like_1,0B,9.6640,14
19,random_like_2,1E,8.1600,13
